# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
axle;60;1416294208;0.00;4848.19;186960.94;0.00;144326.70;0.00;0.00;0.00;0.00
axle;60;1416294268;0.00;257.03;171875.10;0.00;99246.85;0.00;0.00;0.00;0.00
axle;60;1416294328;0.00;344.13;215563.26;0.00;77648.92;0.00;0.00;0.00;0.00
axle;60;1416294388;0.00;357.34;199503.97;0.00;90948.00;0.00;0.00;0.00;0.00
axle;60;1416294448;0.00;180.47;53227.92;0.00;33050.70;0.00;0.00;0.00;0.00
axle;60;1416294508;0.00;22.41;55714.75;0.00;7640.41;0.00;0.00;0.00;0.00
axle;60;1416294568;0.00;81.03;60481.63;0.00;10710.45;0.00;0.00;0.00;0.00
axle;60;1416294628;0.00;22.47;30057.18;0.00;945.73;0.00;0.00;0.00;0.00
axle;60;1416294688;0.00;27.41;51747.67;0.00;3286.90;0.00;0.00;0.00;0.00
axle;60;1416294748;0.07;36.00;58658.18;0.00;974.30;0.00;0.00;0.00;0.00
axle;60;1416294808;0.00;32.08;78392.20;0.00;6844.51;0.00;0.00;0.00;0.00
