ctime,datname,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
1416294913.20504,template1,0,0,0,0,0,0,0,0,0,0
1416294913.20504,template0,0,0,0,0,0,0,0,0,0,0
1416294913.20504,postgres,0,6673,29,58272,207149,2220730,84209,0,0,0
1416294913.20504,dbt3,13,112091,39,7041326890,12389964870,245338305018,78859393475,2278705564,14129,22006953
1416294973.2075,template1,0,0,0,0,0,0,0,0,0,0
1416294973.2075,template0,0,0,0,0,0,0,0,0,0,0
1416294973.2075,postgres,0,6675,29,58298,207178,2221392,84220,0,0,0
1416294973.2075,dbt3,14,112589,39,7045848384,12398416951,245719106084,78895678293,2278796015,14158,22082148
1416295033.21041,template1,0,0,0,0,0,0,0,0,0,0
1416295033.21041,template0,0,0,0,0,0,0,0,0,0,0
1416295033.21041,postgres,0,6677,29,58324,207207,2222054,84231,0,0,0
1416295033.21041,dbt3,14,112720,39,7058555113,12439386593,246459797766,78989416474,2278885925,14179,22156939
1416295093.2123,template1,0,0,0,0,0,0,0,0,0,0
1416295093.2123,template0,0,0,0,0,0,0,0,0,0,0
1416295093.2123,postgres,0,6679,29,58350,207236,2222716,84242,0,0,0
1416295093.2123,dbt3,14,112877,39,7067311185,12493532562,246955800550,79118339967,2279051072,14205,22231496
1416295153.214,template1,0,0,0,0,0,0,0,0,0,0
1416295153.214,template0,0,0,0,0,0,0,0,0,0,0
1416295153.214,postgres,0,6681,29,58376,207265,2223378,84253,0,0,0
1416295153.214,dbt3,14,112996,39,7073745294,12503221676,247385159035,79236910556,2279140641,14222,22306444
1416295213.21597,template1,0,0,0,0,0,0,0,0,0,0
1416295213.21597,template0,0,0,0,0,0,0,0,0,0,0
1416295213.21597,postgres,0,6683,29,58402,207294,2224040,84264,0,0,0
1416295213.21597,dbt3,14,113137,39,7082593978,12576519187,248040116932,79341481569,2279230305,14271,22381605
1416295273.21773,template1,0,0,0,0,0,0,0,0,0,0
1416295273.21773,template0,0,0,0,0,0,0,0,0,0,0
1416295273.21773,postgres,0,6685,29,58428,207323,2224702,84275,0,0,0
1416295273.21773,dbt3,14,113288,39,7089956059,12617824301,248606241439,79455144994,2279320118,14323,22457043
1416295333.21974,template1,0,0,0,0,0,0,0,0,0,0
1416295333.21974,template0,0,0,0,0,0,0,0,0,0,0
1416295333.21974,postgres,0,6687,29,58454,207352,2225364,84286,0,0,0
1416295333.21974,dbt3,13,113405,39,7097145843,12630541814,249210663136,79533076388,2279424735,14342,22607388
1416295393.22144,template1,0,0,0,0,0,0,0,0,0,0
1416295393.22144,template0,0,0,0,0,0,0,0,0,0,0
1416295393.22144,postgres,0,6689,29,58480,207381,2226026,84297,0,0,0
1416295393.22144,dbt3,13,113553,39,7105898738,12707790651,249817663434,79625949397,2279424771,14364,22607403
1416295453.22345,template1,0,0,0,0,0,0,0,0,0,0
1416295453.22345,template0,0,0,0,0,0,0,0,0,0,0
1416295453.22345,postgres,0,6691,29,58506,207410,2226688,84308,0,0,0
1416295453.22345,dbt3,13,113653,39,7111727377,12746935450,250315067531,79711350607,2279424784,14377,22607403
1416295513.22454,template1,0,0,0,0,0,0,0,0,0,0
1416295513.22454,template0,0,0,0,0,0,0,0,0,0,0
1416295513.22454,postgres,0,6693,29,58532,207439,2227350,84319,0,0,0
1416295513.22454,dbt3,12,113800,39,7120283624,12770804917,250733157318,79788352144,2279424804,14401,22607403
1416295573.22706,template1,0,0,0,0,0,0,0,0,0,0
1416295573.22706,template0,0,0,0,0,0,0,0,0,0,0
1416295573.22706,postgres,0,6695,29,58558,207468,2228012,84330,0,0,0
1416295573.22706,dbt3,10,113900,39,7129212007,12796145342,251323861264,79873760142,2279424830,14418,22607418
